km_driven,mileage,engine,max_power,seats,name_target_enc,fuel_Diesel,fuel_Petrol,seller_type_Individual,transmission_Manual
80000.0,17.92,1086.0,62.1,5.0,183666.64444444445,0,1,1,1
150000.0,13.0,2982.0,168.5,7.0,1538000.0,1,0,1,1
157000.0,19.33,1248.0,82.0,5.0,145833.33333333334,0,1,1,1
80000.0,20.36,1197.0,78.9,5.0,253814.8148148148,0,1,1,1
100000.0,18.8,1248.0,90.0,5.0,205999.625,1,0,1,1
39000.0,17.4,1497.0,117.3,5.0,724500.0,0,1,0,1
23000.0,17.0,1197.0,80.0,5.0,313214.28571428574,0,1,0,1
81366.0,19.33,1248.0,82.0,5.0,127500.0,0,1,1,1
50000.0,19.33,1248.0,82.0,5.0,195999.92857142855,0,1,1,1
40000.0,20.51,998.0,67.04,5.0,321955.14925373136,0,1,1,1
46957.0,19.33,1248.0,82.0,5.0,619333.3333333334,1,0,0,0
3100.0,18.2,1199.0,88.7,5.0,752500.0,0,1,1,0
2000.0,16.8,1984.0,150.0,5.0,2475000.0,1,0,0,0
70000.0,19.33,1248.0,82.0,5.0,780461.5384615385,1,0,1,1
30000.0,23.84,1199.0,84.0,5.0,380000.0,0,1,1,1
15000.0,18.2,1199.0,82.4,5.0,397285.7142857143,0,1,1,1
82000.0,28.09,1248.0,88.5,5.0,795625.0,1,0,1,1
40000.0,17.01,1499.0,110.4,5.0,573400.0,0,1,1,0
38000.0,18.6,1197.0,81.83,5.0,578250.0,0,1,1,1
40000.0,25.44,936.0,56.3,5.0,191250.0,1,0,1,1
19000.0,19.33,1248.0,82.0,5.0,331666.6666666667,0,1,1,1
78000.0,19.33,1248.0,82.0,5.0,365000.0,0,0,1,1
93000.0,17.0,1197.0,80.0,5.0,313214.28571428574,0,1,1,1
160000.0,13.1,1493.0,82.0,5.0,157500.0,1,0,1,1
82000.0,19.33,1248.0,82.0,5.0,598181.8181818182,1,0,1,1
110000.0,12.05,2179.0,120.0,8.0,468888.77777777775,1,0,1,1
49957.0,19.33,1248.0,82.0,5.0,614692.3076923077,1,0,0,1
26000.0,15.37,1196.0,73.0,5.0,326930.9655172414,0,1,1,1
65000.0,20.54,1598.0,103.6,5.0,337935.48387096776,1,0,1,1
5500.0,15.37,1196.0,73.0,7.0,303647.0588235294,0,1,1,1
80000.0,19.33,1248.0,82.0,5.0,404999.94736842107,1,0,1,1
145000.0,20.86,1199.0,75.0,5.0,320000.0,1,0,1,1
26430.0,19.33,1248.0,82.0,5.0,1154500.0,1,0,0,1
136000.0,15.96,2523.0,62.1,7.0,439666.6666666667,1,0,1,1
207890.0,13.6,2523.0,63.0,7.0,185000.0,1,0,1,1
108000.0,22.32,1582.0,126.3,5.0,431071.3571428572,1,0,1,1
70000.0,15.1,2179.0,140.0,7.0,789888.8888888889,1,0,1,1
100000.0,19.1,1197.0,85.8,5.0,472658.4390243903,0,1,1,1
80000.0,19.09,1405.0,69.01,5.0,269444.44444444444,1,0,1,1
8352.0,19.33,1248.0,82.0,5.0,326930.9655172414,0,1,0,1
50000.0,19.33,1248.0,82.0,5.0,937500.0,1,0,1,1
